type,llm_name,udb_name,match_score,llm_class,udb_class,source_file,notes
NAMING_MISMATCH,MISALIGNED_ATOMICITY_GRANULE_BEHAVIOR,LRSC_MISALIGNED_BEHAVIOR,0.4,NORM_DIRECT,NORM_DIRECT,zalasr.adoc,
NAMING_MISMATCH,WARL_WRITE_BEHAVIOR,MTVEC_ILLEGAL_WRITE_BEHAVIOR,0.4,NORM_DIRECT,NORM_CSR_WARL,priv-csrs.adoc,
UDB_RECALL_MISS,,ARCH_ID_VALUE,0.0,,NORM_DIRECT,,"The value of `marchid`
The combination of mvendorid and marchid should uniquely identify the type of"
UDB_RECALL_MISS,,ASID_WIDTH,0.0,,NORM_DIRECT,,"Number of implemented ASID bits. Maximum is 16 for XLEN==64, and 9 for XLEN==32"
UDB_RECALL_MISS,,CONFIG_PTR_ADDRESS,0.0,,NORM_DIRECT,,The value returned from `mconfigptr`
UDB_RECALL_MISS_DEBUG,,DBG_HCONTEXT_WIDTH,0.0,,NORM_CSR_WARL,,Specifies the size of HCONTEXT
UDB_RECALL_MISS_DEBUG,,DBG_SCONTEXT_WIDTH,0.0,,NORM_CSR_WARL,,Specifies the size of SCONTEXT
UDB_RECALL_MISS_DEBUG,,DCSR_MPRVEN_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.MPRVEN is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.MP"
UDB_RECALL_MISS_DEBUG,,DCSR_STEPIE_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STEPIE is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.ST"
UDB_RECALL_MISS_DEBUG,,DCSR_STOPCOUNT_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STOPCOUNT is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr"
UDB_RECALL_MISS_DEBUG,,DCSR_STOPTIME_TYPE,0.0,,NORM_CSR_RW,,"Implementation of dcsr.STOPTIME is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr."
UDB_RECALL_MISS,,FOLLOW_VTYPE_RESET_RECOMMENDATION,0.0,,NORM_DIRECT,,"It is recommended that at reset, vtype.vill is set, the remaining bits in vtype are zero, and vl is "
UDB_RECALL_MISS,,FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,0.0,,NORM_CSR_WARL,,"When true, an implementation prohibits setting `menvcfg.CBIE` == `11` such that all `cbo.inval`
inst"
UDB_RECALL_MISS,,GSTAGE_MODE_BARE,0.0,,NORM_CSR_WARL,,Whether or not writing mode=Bare is supported in the `hgatp` register.
UDB_RECALL_MISS_DEBUG,,HCONTEXT_AVAILABLE,0.0,,NORM_DIRECT,,Specifies if HCONTEXT is available
UDB_RECALL_MISS,,HCOUNTENABLE_EN,0.0,,NORM_CSR_RW,,"Indicates which counters can delegated via `hcounteren`

An unimplemented counter cannot be specifie"
UDB_RECALL_MISS,,HPM_COUNTER_EN,0.0,,NORM_CSR_RW,,"List of HPM counters that are enabled.
There is one entry for each hpmcounter.

The first three entr"
UDB_RECALL_MISS,,HPM_EVENTS,0.0,,NORM_CSR_WARL,,List of defined event numbers that can be written into hpmeventN
UDB_RECALL_MISS,,HSTATEEN_AIA_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.AIA bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  "
UDB_RECALL_MISS,,HSTATEEN_CONTEXT_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.CONTEXT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to "
UDB_RECALL_MISS,,HSTATEEN_CSRIND_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.CSRIND bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0"
UDB_RECALL_MISS,,HSTATEEN_ENVCFG_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.ENVCFG bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0"
UDB_RECALL_MISS,,HSTATEEN_IMSIC_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.IMSIC bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
"
UDB_RECALL_MISS,,HSTATEEN_JVT_TYPE,0.0,,NORM_CSR_RW,,"Behavior of the hstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  "
UDB_RECALL_MISS,,HW_MSTATUS_FS_DIRTY_UPDATE,0.0,,SW_RULE,,"Indicates whether or not hardware will write to `mstatus.FS`

Values are:
[separator=""!""]
!===
h! ne"
UDB_RECALL_MISS,,HW_MSTATUS_VS_DIRTY_UPDATE,0.0,,SW_RULE,,"Indicates whether or not hardware will write to `mstatus.VS`

Values are:
[separator=""!""]
!===
h! ne"
UDB_RECALL_MISS,,IGNORE_INVALID_VSATP_MODE_WRITES_WHEN_V_EQ_ZERO,0.0,,NORM_CSR_WARL,,"Whether writes from M-mode, U-mode, or S-mode to vsatp with an illegal mode setting are
ignored (as "
UDB_RECALL_MISS,,IMP_ID_VALUE,0.0,,NORM_DIRECT,,A unique encoding of the version of the processor implementation.
UDB_RECALL_MISS,,JVT_BASE_MASK,0.0,,NORM_CSR_WARL,,"Mask representing the implemented bits of jvt.BASE.
Includes the implicitly-zero bits of jvt.BASE, s"
